Frame No.,Vessel ID,X1,Y1,X2,Y2
0,0,47,422,98,457
0,1,704,434,720,444
1,0,45,422,89,464
1,1,699,434,720,444
2,0,40,422,89,471
2,1,702,434,719,445
3,0,44,422,88,464
3,1,698,432,719,444
4,0,42,422,85,464
4,1,702,432,718,442
5,0,38,422,87,468
5,1,696,432,718,443
6,0,40,421,84,456
6,1,696,432,717,444
7,0,39,421,92,456
7,1,684,432,717,445
8,0,39,422,87,456
8,1,682,431,718,443
9,0,37,420,85,468
9,1,682,434,719,443
10,0,37,421,87,455
10,1,682,431,718,442
11,0,35,420,92,469
11,1,702,437,717,442
12,0,34,424,92,472
12,1,698,434,716,443
13,0,34,422,89,461
13,1,698,436,716,442
14,0,33,421,92,468
14,1,692,434,716,442
15,0,31,421,89,460
15,1,681,434,715,442
16,0,31,421,93,457
16,1,701,438,715,442
17,0,32,421,93,459
17,1,691,435,715,443
18,0,31,422,88,456
18,1,686,430,714,442
19,0,31,422,88,457
19,1,686,430,713,442
20,0,31,420,93,457
20,1,682,430,713,442
21,0,34,421,88,478
21,1,687,432,713,442
22,0,31,423,88,458
22,1,687,433,712,443
23,0,32,421,87,472
23,1,698,436,711,442
24,0,38,424,69,464
24,1,696,436,711,443
25,0,31,422,88,464
25,1,691,435,710,442
26,0,36,422,83,464
26,1,686,434,709,442
27,0,36,422,70,454
27,1,684,434,709,442
28,0,35,422,70,462
28,1,684,431,708,442
29,0,33,424,82,462
29,1,682,433,708,442
30,0,32,422,82,459
30,1,688,434,706,442
31,0,31,424,62,450
31,1,688,435,707,442
32,0,33,424,67,451
32,1,686,434,706,443
33,0,32,424,59,460
33,1,692,437,706,442
34,0,33,423,63,462
34,1,686,434,705,443
35,0,31,426,64,460
35,1,686,436,705,444
36,0,33,424,64,454
36,1,679,435,704,444
37,0,31,426,54,465
37,1,679,434,702,442
38,0,31,423,56,454
38,1,679,434,703,442
39,0,31,422,56,444
39,1,675,433,700,442
40,0,32,422,55,454
40,1,674,433,702,442
41,0,31,423,55,454
41,1,674,434,699,442
42,0,31,423,55,445
42,1,661,434,699,442
43,0,32,426,53,464
43,1,661,434,700,443
44,0,32,427,86,454
44,1,675,435,699,442
45,0,31,421,50,445
45,1,684,438,699,442
46,0,35,424,49,445
46,1,673,434,697,441
46,2,81,452,96,462
47,0,34,425,46,454
47,1,678,434,698,442
47,2,81,453,96,463
48,0,33,423,48,459
48,1,678,434,697,442
49,0,32,429,45,452
49,1,677,435,696,442
50,0,31,429,45,452
50,1,676,435,694,442
51,0,34,429,44,446
51,1,676,435,694,442
52,0,31,433,59,463
52,1,675,434,694,442
53,0,31,432,48,454
53,1,674,434,693,444
53,2,91,547,100,551
54,0,32,424,40,438
54,1,668,434,694,444
55,1,673,434,692,442
56,1,685,436,691,444
57,1,672,434,690,442
58,1,670,434,690,442
59,1,665,435,690,442
59,0,31,436,40,447
60,1,675,435,688,444
60,0,31,433,40,447
61,1,670,434,688,442
62,1,674,436,687,444
63,1,648,434,686,444
64,1,667,434,685,444
65,1,668,432,685,439
66,1,670,436,685,442
66,3,725,683,742,686
67,1,678,436,685,440
67,0,32,429,37,451
68,1,644,434,682,440
69,1,676,436,681,442
70,1,663,435,681,442
71,1,675,436,681,439
71,3,640,435,655,440
72,1,675,436,682,444
73,1,641,434,679,440
74,1,659,433,679,442
75,1,672,436,678,442
76,1,671,436,678,444
77,1,671,436,676,439
78,1,673,436,676,444
79,1,671,436,674,439
80,1,671,436,674,439
81,1,671,436,673,444
82,1,648,433,672,439
83,1,669,436,673,440
83,4,722,680,738,688
84,1,667,436,672,444
85,1,667,436,672,439
85,4,722,680,738,688
86,1,630,436,671,440
86,4,722,680,738,688
87,1,666,436,670,440
88,1,665,436,668,439
89,1,665,436,668,439
90,1,642,435,668,439
91,1,663,436,667,439
92,1,663,436,666,440
93,1,641,435,666,444
94,1,661,436,666,444
95,1,659,436,663,440
95,5,51,616,62,626
96,1,659,436,662,440
97,1,659,436,662,439
98,1,657,436,660,440
99,1,657,436,658,439
100,1,637,435,658,440
