Frame No.,Vessel ID,X1,Y1,X2,Y2
0,1,559,434,606,447
1,1,552,434,608,452
2,1,552,433,598,448
3,1,553,432,599,446
4,1,552,432,597,449
5,1,551,433,594,447
6,1,550,432,593,447
7,1,548,431,592,446
8,1,556,433,592,447
9,1,561,434,591,446
10,1,563,434,590,446
11,1,559,434,587,446
12,1,559,435,590,448
13,1,552,434,589,447
14,1,548,434,586,447
15,1,553,435,588,447
16,1,554,437,586,449
17,1,555,435,586,447
18,1,549,436,584,447
19,1,545,436,584,447
20,1,542,435,582,446
21,1,539,436,581,447
22,1,538,436,581,447
23,1,538,438,582,449
24,1,535,438,581,449
25,1,534,437,581,448
26,1,533,438,581,450
27,1,533,438,581,450
28,1,530,439,576,451
29,1,529,436,575,448
30,1,528,437,572,449
31,1,527,437,574,450
32,1,535,437,578,450
33,1,530,437,573,450
34,1,528,437,573,450
35,1,525,437,570,450
36,1,522,435,567,450
37,1,522,435,567,450
38,1,521,435,565,450
39,1,525,434,565,449
40,1,528,435,565,448
41,1,522,434,561,448
42,1,521,434,562,449
43,1,520,434,562,450
44,1,516,434,562,450
45,1,514,434,560,450
46,1,510,434,556,450
47,1,509,433,556,450
48,1,509,432,557,450
49,1,507,431,558,450
50,1,506,431,555,450
51,1,508,430,556,450
52,1,504,431,552,449
53,1,502,431,550,450
54,1,501,432,550,451
55,1,499,432,548,451
56,1,501,432,549,451
57,1,500,432,547,450
58,1,496,433,544,451
59,1,498,433,545,451
60,1,501,433,547,450
61,1,502,434,548,451
62,1,499,434,546,451
63,1,496,433,544,450
64,1,499,432,544,449
65,1,496,433,541,450
66,1,494,433,538,450
67,1,493,434,536,451
68,1,492,433,535,451
69,1,491,433,536,451
70,32,1001,559,1004,563
70,1,491,434,536,451
71,1,491,434,537,451
72,1,490,434,537,451
73,1,495,434,540,452
74,1,490,434,536,450
75,1,488,434,534,451
76,1,486,434,532,451
77,1,481,434,528,451
78,1,478,434,528,452
79,1,477,434,529,451
80,1,477,434,529,451
81,1,474,435,525,452
82,1,475,435,526,452
83,1,473,437,523,453
84,1,473,438,522,454
85,39,1001,552,1006,561
85,1,473,439,521,453
86,39,1001,552,1006,561
86,1,473,439,521,453
87,1,471,436,519,451
88,1,472,435,519,451
89,1,469,435,515,452
90,1,468,435,513,453
91,1,470,435,514,451
92,1,467,434,511,452
93,1,466,435,511,453
94,1,464,435,508,454
95,1,463,435,507,454
96,1,463,435,506,454
97,1,461,434,503,453
98,1,460,434,501,452
99,1,460,435,501,453
100,1,460,435,500,454
101,1,460,435,499,454
102,1,460,434,499,454
103,1,460,433,498,454
104,1,460,434,502,454
105,1,458,433,504,453
106,1,460,432,502,452
107,1,459,433,498,453
108,1,459,434,497,453
109,1,454,435,492,453
110,1,453,433,490,452
111,1,451,434,488,452
112,1,451,433,488,452
113,1,451,433,489,453
