Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,19:38:54,19:38:53,32.703090000,-117.233184500
33,19:38:59,19:38:58,32.703196500,-117.233157000
154,19:39:04,19:39:04,32.703308167,-117.233123167
274,19:39:09,19:39:09,32.703418500,-117.233090500
395,19:39:14,19:39:14,32.703498833,-117.233062167
514,19:39:19,19:39:19,32.703597167,-117.233023500
634,19:39:24,19:39:24,32.703695500,-117.232982833
752,19:39:29,19:39:29,32.703786833,-117.232955667
871,19:39:34,19:39:34,32.703824833,-117.233047000
988,19:39:39,19:39:39,32.703770000,-117.233205500
1093,19:39:44,19:39:43,32.703735167,-117.233335000
1196,19:39:49,19:39:46,32.703718333,-117.233436667
1299,19:39:54,19:39:54,32.703689167,-117.233722667
1403,19:39:59,19:39:59,32.703677833,-117.233858667
1505,19:40:04,19:40:04,32.703596333,-117.233990833
1609,19:40:09,19:40:09,32.703476833,-117.234087500
1718,19:40:13,19:40:13,32.703392333,-117.234166500
1833,19:40:19,19:40:19,32.703306167,-117.234226667
1937,19:40:24,19:40:23,32.703251833,-117.234274500
2039,19:40:29,19:40:29,32.703175333,-117.234337333
2142,19:40:34,19:40:35,32.703107000,-117.234380500
2245,19:40:39,19:40:40,32.703047667,-117.234400667
2349,19:40:44,19:40:45,32.702982833,-117.234403500
2449,19:40:49,19:40:49,32.702934500,-117.234395167
2551,19:40:54,19:40:53,32.702894667,-117.234372500
2653,19:40:59,19:40:58,32.702876667,-117.234336833
2771,19:41:04,19:41:03,32.702873167,-117.234316333
2877,19:41:09,19:41:09,32.702881667,-117.234303833
2981,19:41:14,19:41:14,32.702901167,-117.234300667
