Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,19:51:12,19:51:12,32.702634667,-117.231865333
44,19:51:17,19:51:17,32.702570333,-117.231957667
176,19:51:22,19:51:21,32.702566833,-117.232085167
306,19:51:27,19:51:27,32.702576167,-117.232306500
436,19:51:32,19:51:32,32.702589500,-117.232434167
567,19:51:37,18:57:37,32.713317833,-117.185697500
696,19:51:42,18:57:42,32.713906833,-117.186397667
827,19:51:47,18:57:47,32.714245833,-117.186980167
953,19:51:52,18:57:52,32.714386333,-117.187374167
1083,19:51:57,19:51:57,32.702910667,-117.232990167
1213,19:52:02,18:58:02,32.714782500,-117.188401167
1342,19:52:07,18:58:07,32.715104167,-117.188955500
1471,19:52:12,19:52:12,32.703227000,-117.233016000
1602,19:52:17,18:58:17,32.715692500,-117.190537500
1733,19:52:22,19:52:23,32.703469833,-117.233118667
1862,19:52:27,19:52:27,32.703547833,-117.233163167
1992,19:52:32,19:52:32,32.703647500,-117.233173333
2121,19:52:37,19:52:37,32.703719667,-117.233063833
2248,19:52:42,19:52:42,32.703752500,-117.232941333
2377,19:52:47,19:52:47,32.703791833,-117.232819500
2506,19:52:52,19:52:52,32.703817667,-117.232695667
2636,19:52:57,19:52:57,32.703840333,-117.232558667
2768,19:53:02,19:53:02,32.703862667,-117.232416000
2900,19:53:07,18:59:07,32.716718500,-117.200235500
3031,19:53:12,19:53:11,32.703817833,-117.232162500
3163,19:53:17,19:53:17,32.703696667,-117.232062667
3295,19:53:22,19:53:22,32.703620000,-117.232118333
3424,19:53:27,18:59:27,32.716953667,-117.203800833
3552,19:53:32,18:59:33,32.716820167,-117.204844833
