Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,19:53:32,18:59:33,32.716820167,-117.204844833
81,19:53:37,18:59:38,32.716629667,-117.20572
210,19:53:42,19:53:44,32.703457,-117.232862167
338,19:53:47,19:53:47,32.703438,-117.232940333
469,19:53:52,19:53:52,32.703385167,-117.233110167
600,19:53:57,19:53:57,32.703276667,-117.2331815
732,19:54:02,19:54:04,32.7030715,-117.233171167
994,19:54:12,19:54:12,32.7028185,-117.2331585
1124,19:54:17,19:54:17,32.702689,-117.233139833
1256,19:54:22,19:54:22,32.702572333,-117.233081333
1385,19:54:27,19:54:27,32.702511333,-117.232947
1516,19:54:32,19:54:29,32.702502667,-117.232894333
1647,19:54:37,19:54:36,32.702493833,-117.232696667
1778,19:54:42,19:54:42,32.702484333,-117.232521833
1908,19:54:47,19:54:47,32.702477833,-117.232372833
2039,19:54:52,19:54:52,32.702487,-117.232252833
2167,19:54:57,19:54:57,32.702572,-117.23218
2294,19:55:02,19:55:02,32.7026535,-117.232222667
2425,19:55:07,19:55:06,32.7027015,-117.232338833
2554,19:55:12,19:55:11,32.702709833,-117.2324915
2682,19:55:17,19:55:15,32.702705167,-117.232629833
2813,19:55:22,19:55:22,32.702708333,-117.232844333
2943,19:55:27,19:55:27,32.702728333,-117.233012
3071,19:55:32,19:55:33,32.702769,-117.233214667
3202,19:55:37,19:55:37,32.702817667,-117.233313333
3329,19:55:42,19:55:42,32.702907333,-117.233384
3458,19:55:47,19:55:47,32.703012833,-117.233359167
3588,19:55:52,19:55:52,32.703048833,-117.233253
